,kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,Theta1
2318,4991208.01,CONFIRMED,0.0,0.001130178256880709,0.12911785379568885,0.00755272739200315,0.652,0.14762355824820808,3.2010229672689524e-05,0.992453142121148,0.284
2319,8243283.01,FALSE POSITIVE,0.0,0.00108025690400392,0.12614339268978444,0.01249712992423,0.0,0.17057251355858796,4.3427572721787336e-05,0.9923939329860243,0.737
2320,9092504.01,CONFIRMED,0.954634412140063,0.0010784962485850425,0.13040417057169634,0.008682061206415851,0.16699999999999998,0.06685443016801751,0.0001534340896911968,0.9920923508717968,0.759
2321,9092504.02,CANDIDATE,0.9534625892455962,0.001083453170764344,0.12897656982193065,0.006710401154590482,0.046,0.30705349574999335,4.23441752061795e-05,0.9922485245775582,0.759
2322,5383248.01,CONFIRMED,0.0,0.0011207519786381032,0.12792877225866917,0.007117787909600814,0.0,0.014668878945958587,0.0014191757410028567,0.9929583421442165,0.9470000000000001
2323,10001368.01,CONFIRMED,0.0,0.0011179620169743435,0.13010660731021556,0.008319611637747238,0.084,0.08157534540370019,0.00018960289905841174,0.992470443491801,0.977
2324,9466429.01,CONFIRMED,0.0,0.0011065313002548618,0.12933809746954078,0.007193000295207795,0.032,0.17010607137748268,0.00011259833717982513,0.9927115092562333,0.8370000000000001
2325,4365442.01,FALSE POSITIVE,0.0,0.0010673093149235592,0.1248477038425492,0.044182766425033625,0.0,0.1183309892747964,9.509730038923723e-05,0.9916256367865588,0.581
2326,8885643.01,CONFIRMED,0.0,0.0010835073447772324,0.12935449859418932,0.007601272673598584,0.03,0.11012160688734343,8.743017950955113e-05,0.9924204617543589,0.805
2327,5652893.01,CONFIRMED,0.0,0.0011195601503545553,0.1293767572633552,0.007336110473316496,0.001,0.14006719491430253,0.0001017643620237469,0.9925181183798227,0.759
2328,3241557.01,FALSE POSITIVE,0.0,0.0011494912924754734,0.12816225398313028,0.01115557450716699,0.0,0.20732815742968413,3.9093982659356046e-05,0.9922695553547742,0.593
2329,3957082.01,FALSE POSITIVE,0.0,0.0011172306678003483,0.12529522024367384,0.033706169842883854,0.0,0.13101821660086008,7.542946856743373e-05,0.9915600069205482,0.395
2330,8681833.01,CONFIRMED,0.0,0.0011129509207821536,0.12925140581068417,0.0070305048053268615,0.541,0.1702926482499248,6.701230325386527e-05,0.9922309156269824,0.387
2331,4138951.01,CONFIRMED,0.0,0.0010684740562006626,0.1290024601686973,0.00908091973628104,0.6559999999999999,0.1322309662717338,5.034464916759111e-05,0.9922025798266018,0.47200000000000003
2332,3102384.01,CONFIRMED,0.0,0.0010975925881282526,0.13394798500468605,0.009149145537442189,0.0,0.03428743708324674,0.0005879598317203642,0.9928053211326631,0.9229999999999999
2333,10471515.01,CONFIRMED,0.0,0.0011245170725338567,0.12844294751640112,0.009032046446026176,0.5660000000000001,0.15629938281676634,3.551043703080709e-05,0.9924235375535861,0.215
2334,4935172.01,CANDIDATE,0.0,0.0010985677203602464,0.12862007966260544,0.00841571817495982,0.612,0.1554597868907768,4.676110353904217e-05,0.9922546377285223,0.5710000000000001
2335,8760040.01,CONFIRMED,0.9558139185603116,0.001121943806921651,0.1294927366447985,0.007239938334372028,0.0,0.17141210948457744,6.809570076947308e-05,0.9925838635883043,0.8390000000000001
2336,8760040.02,CANDIDATE,0.9546360821073153,0.0011258985098625146,0.12841037956888474,0.007971266441434055,0.299,0.24277776319368555,2.450978533386616e-05,0.9922551375458967,0.8390000000000001
2337,10098844.01,CONFIRMED,0.0,0.0010906854014849639,0.1291846298031865,0.0090002296060616,0.301,0.19734629475403112,5.601165155692432e-05,0.9926826736384783,0.838
2338,9467404.01,CONFIRMED,0.0,0.0011415818865937466,0.13167994376757264,0.007318594810903009,0.017,0.12178266141497547,0.0002358556391478225,0.9913277840788942,0.711
2339,5184911.01,CONFIRMED,0.9546503761692449,0.0011295010817196024,0.12936855670103092,0.00827401843408666,0.552,0.10508403133140638,0.0001416833935603735,0.9924323804763644,0.309
2340,5184911.02,CANDIDATE,0.9636241116594261,0.0011267382070622868,0.12824742268041237,0.00781447830222718,0.762,0.3480071192510371,2.4259770522572036e-05,0.9925100444068513,0.309
2341,8176564.01,CANDIDATE,0.0,0.0011044997747715415,0.1301230084348641,0.007872207826286615,0.0,0.07521307405342416,0.0001800189979588041,0.9927022818585517,0.883
2342,6587105.01,CONFIRMED,0.0,0.001098025980231361,0.12969072164948453,0.008351100469052384,0.349,0.11506589400705942,0.00014376685032115778,0.9927426517234087,0.736
2343,11662184.01,CONFIRMED,0.0,0.0011097004800088412,0.12954779756326149,0.00565683734050579,0.54,0.14473161672535534,9.601402136398231e-05,0.9928995174839962,0.66
2344,11127479.01,CONFIRMED,0.0,0.0010951818445547126,0.12941424554826617,0.007882376094728902,0.002,0.16077722775537703,8.709682642782564e-05,0.9924542955458582,0.946
2345,5428668.01,FALSE POSITIVE,0.0,0.0011346476129440136,0.1277181349578257,0.014150293567750192,0.0,0.2032234662359577,7.509611548570826e-05,0.9920629000941963,0.14400000000000002
2346,5041569.01,FALSE POSITIVE,0.0,0.0011194518023287783,0.1284769212746017,0.004759077639649688,0.0,0.13232425470795484,6.809570076947308e-05,0.9925311905265384,0.006999999999999999
2347,10604521.01,CANDIDATE,0.0,0.0010312023353333476,0.12960637300843486,0.007834814839111753,0.0,0.3439024280573107,7.376270315880633e-05,0.9919452507737557,0.841
2348,9899181.01,FALSE POSITIVE,0.0,0.0010991636345020204,0.12823488753514525,0.011595106110801327,0.006,0.13428331186859704,0.00010934814463300164,0.9923712489667237,0.19899999999999998
