kepid_plnt,fpp_prob,fpp_score,fpp_spec_occrate
9466668.03,0.003,70.0,0.168
9466668.04,0.0008699999999999999,8.3,0.218
9479273.01,0.00015,2.0,0.147
8359498.01,2.8000000000000003e-09,4200.0,0.071
9334289.01,1.6e-05,2200.0,0.11699999999999999
9334289.02,3.7e-05,290.0,0.212
9334289.03,7e-05,290.0,0.20199999999999999
9347899.01,0.55,2.5,0.052000000000000005
9347899.02,0.0067,39.0,0.064
9347899.03,0.0039,13.0,0.096
9347899.04,0.003,78.0,0.18600000000000003
9388479.01,6.8e-06,1200.0,0.22
9388479.02,1.6e-05,24000.0,0.122
11359879.01,0.00066,130.0,0.073
9406990.01,6.1e-05,290.0,0.198
9415172.01,3.8e-05,830.0,0.193
9415172.02,0.00021,2300.0,0.129
9415172.03,0.07200000000000001,420.0,0.149
9904059.01,0.83,0.61,0.005
3231341.02,0.11,1.5,0.166
3231341.03,0.0009699999999999999,42.0,0.209
3231341.04,1.0,0.96,0.168
3231341.01,1.0,0.87,0.073
2860866.01,0.3,1.7,0.064
7626506.02,4.2000000000000004e-06,190.0,0.209
7626506.01,3.8e-05,1300.0,0.21100000000000002
10319385.01,0.008,260.0,0.13
10482160.01,0.0052,1300.0,0.213
6579806.01,0.95,1100.0,0.008
3560301.01,1.0,0.0002,0.196
4044005.01,0.88,160.0,0.034
6066403.01,1.0,11.0,0.001
5988031.01,1.0,0.83,0.001
7684873.01,1.0,25.0,0.078
8559644.01,0.09300000000000001,2.0,0.054000000000000006
8559644.02,1.1e-05,1400.0,0.188
2851100.01,0.8,110.0,0.14
3130300.01,0.08800000000000001,9.2,0.136
3240158.01,0.00011,610.0,0.16
3240158.02,0.0092,64.0,0.21600000000000003
3240158.03,0.14,32.0,0.195
3218908.01,1.4000000000000001e-05,0.92,0.212
3218908.02,5.9e-07,440.0,0.121
3218908.03,0.0018,330.0,0.142
10480921.01,1.0,0.16,0.162
10350571.01,0.0019,2.9,0.166
10350571.02,0.0,0.0073,0.146
3749365.01,0.00043,11000.0,0.075
11013201.01,0.00044,130.0,0.071
11673674.01,0.00047000000000000004,4.5,0.067
9414417.01,0.0013,13.0,0.205
3632418.01,4.2000000000000005e-10,1500.0,0.14800000000000002
3441784.01,0.99,86.0,0.001
5820218.01,1.0,3.1,0.001
5809890.01,0.00026000000000000003,12000.0,0.17600000000000002
5809890.02,0.0069,120.0,0.122
6131236.01,0.040999999999999995,32.0,0.2
9048161.01,1.0,27.0,0.001
2837111.01,0.00018,140.0,0.19899999999999998
2837111.02,0.0025,31.0,0.08800000000000001
3120276.01,0.024,77.0,0.214
2307199.01,0.41,62.0,0.053
3869825.01,0.93,2.3,0.006
3655332.01,0.89,47.0,0.006999999999999999
4042026.01,0.4,0.79,0.079
3344419.01,1.0,180.0,0.001
12167361.01,0.99,28.0,0.001
1433962.01,1.0,9.2e-07,0.217
5956342.01,5.2000000000000004e-05,110.0,0.20800000000000002
5956342.02,4.8e-05,76.0,0.174
5956342.03,0.00049,5.6,0.21
5956342.04,0.018000000000000002,27.0,0.215
5956656.01,0.00013000000000000002,4600.0,0.107
5956656.02,0.0013,5.4,0.161
2854914.01,5.2000000000000004e-05,220.0,0.207
2854914.02,7.2e-05,39.0,0.2
3337425.01,1.0,79.0,0.073
3116412.01,1.3e-06,7.5,0.187
3865567.01,0.58,82.0,0.076
3544689.01,1.0,0.76,0.073
3443790.01,0.99,330.0,0.001
3966912.01,1.0,0.18,0.001
8394721.01,7.900000000000001e-05,2.9,0.052000000000000005
8394721.02,1.7e-07,16.0,0.11599999999999999
8394721.03,2.1e-05,480.0,0.14300000000000002
8394721.04,0.039,35.0,0.196
10227501.01,1.0,0.72,0.201
2854698.01,6.4e-06,360.0,0.218
2854698.02,0.0086,11.0,0.17
5866099.01,1.0,2.5,0.003
6066416.01,1.0,0.22,0.063
1996679.01,1.0,13.0,0.001
2849805.01,0.00031,2300.0,0.133
3114811.01,1.8000000000000001e-06,570.0,0.193
2853446.01,0.42,160.0,0.162
3003992.01,0.12,10.0,0.038
3003992.02,1.0,5.4,0.028999999999999998
3942446.01,0.75,51.0,0.062
3554031.01,0.013000000000000001,710.0,0.198
3554031.02,0.0021,130.0,0.218
3554031.03,0.0024,550.0,0.172
7295235.01,0.013000000000000001,800.0,0.11599999999999999
2302548.01,3.5e-05,1800.0,0.21600000000000003
2302548.02,0.00011999999999999999,440.0,0.218
9818381.01,1.7e-06,1900.0,0.077
6124941.01,0.13,1600.0,0.20199999999999999
6060203.01,0.0024,6500.0,0.15
5880320.01,9.1e-05,200.0,0.207
5880320.02,0.00045,270.0,0.18100000000000002
5880320.03,0.00014,8.2,0.21899999999999997
5880320.04,0.0016,57.0,0.157
6307537.01,1.4999999999999999e-05,0.045,0.022000000000000002
6359798.01,1.0,470.0,0.001
6311681.01,1.0,7.5,0.001
6301035.01,1.0,39.0,0.001
3859079.01,0.00081,27.0,0.21100000000000002
4061149.01,0.079,1200.0,0.071
3444588.01,0.0061,7700.0,0.11900000000000001
3962243.01,0.0097,25.0,0.163
3962243.02,0.00021,360.0,0.198
3962243.03,0.14,16.0,0.2
10154388.01,0.00047000000000000004,740.0,0.161
1432789.01,0.0006799999999999999,62.0,0.212
1432789.02,0.0027,12.0,0.134
1718189.01,0.00033,160.0,0.21600000000000003
1718189.02,0.92,11.0,0.185
1718189.03,0.053,10.0,0.183
5130369.01,0.99,1.2,0.053
6037187.01,0.00047000000000000004,14.0,0.207
6147122.01,1.0,12.0,0.051
8257407.01,1.0,95.0,0.001
8218274.01,0.015,26.0,0.06
3964562.01,1.0,23.0,0.001
5735762.01,9.1e-05,3200.0,0.192
5735762.02,5.5e-06,1400.0,0.205
5735762.03,0.00037,71.0,0.20600000000000002
6292162.01,0.61,37.0,0.052000000000000005
6307521.01,1.0,0.32,0.156
6307521.02,0.95,2.3,0.19399999999999998
6359320.01,5.9e-05,330.0,0.213
6359320.02,0.0018,65.0,0.162
6359320.03,0.00037,55.0,0.11800000000000001
3860441.01,1.0,0.16,0.001
3765771.01,0.47,94.0,0.067
3859628.01,0.015,76.0,0.107
3644071.02,0.99,0.14,0.053
1431122.01,0.013999999999999999,560.0,0.154
3858949.01,1.0,0.36,0.001
3858824.01,1.0,0.12,0.009000000000000001
7601633.01,0.86,120.0,0.027999999999999997
8242681.01,0.3,29.0,0.044000000000000004
8260218.01,5.7999999999999994e-05,1100.0,0.079
8246781.01,1.0,60.0,0.001
8264070.01,0.92,26.0,0.063
8222813.01,1.7e-05,1400.0,0.18899999999999997
