kepid_plnt,koi_disposition,max_ephemeris_corr,wst_robstat,tce_cap_stat,tce_hap_stat,koi_fwm_stat_sig,tce_rminmes,tce_max_mult_ev,tce_albedo_stat,tce_period,tce_prad,tce_model_snr
3832474.01,CONFIRMED,0.9380831519646792,0.7789,94.81,51.87,0.081,0.0221,323.4,0.7586,60.3252,12.1,278.2
3832474.02,CONFIRMED,0.9534625892455857,3.213,31.48,12.28,0.051,0.029419999999999998,115.6,2.978,143.201,8.683,113.4
3836375.01,FALSE POSITIVE,0.0,6.074,-12.57,33.05,0.0,0.1144,32.0,1.6540000000000001,1.54039,2.7030000000000003,34.09
3838486.01,FALSE POSITIVE,0.0,2.878,-92.27,241.1,0.0,0.09657,35.48,1.21,2.99024,2.688,39.67
3935914.01,CONFIRMED,0.0,2.217,493.8,193.6,0.0,0.0034729999999999995,1016.0,-16.77,1.59474,11.66,919.3
3940418.01,CANDIDATE,0.0,2.299,37.79,8.847999999999999,0.282,0.03587,57.64,1.8159999999999998,4.783,3.208,64.84
4049131.01,CONFIRMED,0.0,2.734,32.04,9.761000000000001,0.722,0.0301,70.73,2.307,20.5058,3.654,71.24
5287983.01,FALSE POSITIVE,0.0,14.15,23.95,29.68,0.0,0.08574,50.68,2.228,2.50706,3.5810000000000004,55.3
5358241.01,CONFIRMED,0.9552486587271483,3.3339999999999996,24.46,3.8760000000000003,0.0,0.07311000000000001,36.0,2.5340000000000003,18.6493,3.589,40.66
5358241.02,CONFIRMED,0.9473309334313493,3.096,21.89,5.801,0.48200000000000004,0.09391000000000001,32.64,2.582,38.5576,3.867,34.81
5358241.03,CONFIRMED,0.9531509492342721,2.917,13.19,5.375,0.0,0.1283,24.26,2.425,9.75201,2.675,26.22
10875245.02,CONFIRMED,0.9550945332541463,2.138,23.54,7.843999999999999,0.054000000000000006,0.09224,34.97,1.103,3.1800200000000003,1.845,38.54
10875245.01,CONFIRMED,0.9544061447354905,3.0269999999999997,46.7,12.34,0.0,0.03578,66.19,2.924,14.7491,3.42,68.96
10875245.04,CONFIRMED,0.9534625892456408,1.016,2.995,2.83,0.628,0.3201,10.17,0.7551,7.9581800000000005,1.1640000000000001,10.27
10875245.03,CONFIRMED,0.9545596945850361,1.492,26.76,6.683,0.307,0.06045,33.19,0.9806,4.90145,1.95,36.4
5358624.01,CONFIRMED,0.0,2.137,1021.0,126.7,0.0,0.0019089999999999999,2078.0,-10.1,3.5256300000000005,11.75,2065.0
4544670.01,CANDIDATE,0.0,2.494,43.16,15.08,0.13,0.04508,75.64,1.7630000000000001,34.844,8.131,75.12
4664847.01,CONFIRMED,0.0,1.7269999999999999,60.36,13.86,0.09699999999999999,0.018359999999999998,106.3,1.143,7.74808,5.851,109.0
4725681.01,CONFIRMED,0.9588299321097882,1.993,8.687999999999999,3.987,0.01,0.1207,22.27,2.029,23.9679,2.09,24.96
4725681.02,CONFIRMED,0.9542612457496575,2.217,11.09,1.421,0.028999999999999998,0.225,15.26,0.9612,8.295580000000001,1.84,19.04
4913852.01,CONFIRMED,0.0,3.0180000000000002,25.39,7.803,0.024,0.05827,45.59,2.4019999999999997,8.11438,2.2840000000000003,52.05
4932348.01,FALSE POSITIVE,0.0,32.59,562.0,46.84,0.0,0.002843,1785.0,3.675,38.0367,27.41,1377.0
4936180.01,FALSE POSITIVE,0.0,3.853,81.65,16.73,0.028999999999999998,0.034069999999999996,135.0,0.9335,4.64093,7.215,140.1
11913073.01,FALSE POSITIVE,0.0,16.04,-28.85,181.4,0.0,0.0621,98.6,3.051,3.74782,2.517,91.99
5021899.01,CONFIRMED,0.0,3.324,17.17,5.292999999999999,0.44799999999999995,0.09139,31.22,1.6,21.813000000000002,3.719,34.82
5077629.01,FALSE POSITIVE,0.0,10.58,198.7,57.6,0.0,0.007932999999999999,385.4,2.968,7.91937,10.44,367.7
5164255.01,CONFIRMED,0.0,3.3689999999999998,97.2,26.28,0.006,0.01985,170.0,3.077,15.3756,11.1,167.2
5252423.01,CONFIRMED,0.9552844110582457,3.012,19.32,6.534,0.0,0.07322000000000001,33.64,1.59,8.103639999999999,2.428,36.3
5252423.02,CONFIRMED,0.9545214042184611,2.5810000000000004,11.92,-0.431,0.02,0.16,16.49,1.2919999999999998,4.7151,1.777,18.21
