# Kepler ID, Theta 1, Theta 2
006062088,0.913,0.832
008255887,0.913,0.779
007040629,0.913,0.797
009279669,0.913,0.825
009973109,0.912,0.794
003634051,0.912,0.797
003942670,0.912,0.789
009101496,0.912,0.790
007373451,0.912,0.808
011918099,0.912,0.793
008008206,0.912,0.754
009401997,0.912,0.794
004563268,0.911,0.792
009886361,0.911,0.804
006441738,0.911,0.801
006607286,0.911,0.821
005683743,0.911,0.808
007175184,0.911,0.761
008160953,0.911,0.773
010055126,0.911,0.799
007663691,0.911,0.784
006871071,0.911,0.811
006584273,0.911,0.806
003640905,0.910,0.807
011071200,0.910,0.807
010586004,0.910,0.797
011026304,0.910,0.777
003749134,0.910,0.793
005546761,0.910,0.807
009909735,0.909,0.836
005791986,0.909,0.822
010657664,0.909,0.776
008218274,0.909,0.776
008359498,0.909,0.776
011551692,0.909,0.780
006392727,0.909,0.780
010464078,0.909,0.836
009305831,0.909,0.776
006849046,0.909,0.776
006508221,0.909,0.807
003969687,0.909,0.805
011394027,0.909,0.831
006767840,0.909,0.783
003657758,0.908,0.803
003342794,0.908,0.761
011013201,0.907,0.808
010350571,0.907,0.801
009070666,0.907,0.788
006428700,0.907,0.702
005511081,0.907,0.795
004282872,0.906,0.807
010253547,0.906,0.792
008292840,0.906,0.797
006962977,0.906,0.781
005786676,0.906,0.827
007747425,0.905,0.773
005871985,0.905,0.740
005695524,0.905,0.806
010587105,0.905,0.808
009838468,0.905,0.785
007815744,0.905,0.786
005351250,0.905,0.827
002307415,0.905,0.807
004833421,0.905,0.774
006310636,0.904,0.816
009592705,0.904,0.797
012784167,0.904,0.818
012470844,0.904,0.795
008962094,0.904,0.809
008240904,0.904,0.804
009823519,0.904,0.797
008630788,0.903,0.800
008150320,0.903,0.772
001725016,0.903,0.786
009205938,0.903,0.793
007366258,0.903,0.803
005511081,0.903,0.797
005088536,0.903,0.798
006205228,0.903,0.818
008229696,0.903,0.818
012020329,0.903,0.794
005252423,0.903,0.786
008009350,0.902,0.767
008233702,0.902,0.778
011498128,0.902,0.797
008039892,0.902,0.794
008616637,0.902,0.811
006062088,0.902,0.827
003348082,0.901,0.791
003663173,0.901,0.789
009006449,0.901,0.798
006871071,0.901,0.790
011752906,0.901,0.814
008367113,0.901,0.812
009414417,0.901,0.797
003425851,0.900,0.797
008644288,0.900,0.808
006471021,0.900,0.756
009349482,0.900,0.780
009034103,0.900,0.799
010718726,0.899,0.792
008361905,0.899,0.814
008022489,0.899,0.806
005438099,0.899,0.801
010554999,0.899,0.786
