rowid,kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
3823,5282049,K01545.01,5.91,13.77,0.0000074,180,0.065,204,0.69,0.0000074,2.9E-33,5.4E-09,1.6E-22,2.6E-16,5.4E-10,0.125,5844,196.17,-144.46,1,0.181,-0.106,0.99,0.083,-0.074,9.58,0.262,-0.346,1166,224.88,-130.49,0.17,0.15,-0.116
3824,5283458,K01547.01,30.694,14.86,0.026,46,0.055,309,0.5,0.0003,0.026,0.00024,4.5E-15,4.1E-14,0.000000082,0.13,5913,160.77,-176.05,1.08,0.266,-0.129,1.05,0.084,-0.073,9.59,0.221,-0.327,1593,389.5,-205.36,0.24,0.115,-0.141
3825,9940565,K01548.01,2.139,7.74,1,5,0.053,56,0.84,0.21,0.75,0.029,0.0014,0.000051,0.0053,0.103,4695,52.46,-47.44,0.69,0.034,-0.053,0.72,0.04,-0.054,9.7,0.316,-0.385,399,21.27,-33.7,0.09,0.069,-0.059
3826,5531953,K01681.04,21.914,1.04,0.34,18,0.058,299,3.6,0.0000006,0.0000062,0.2,0.00025,0.00086,0.13,0.02,3659,35.94,-39.1,0.38,0.03,-0.031,0.4,0.034,-0.035,9.52,0.433,-0.364,178,17.26,-16.84,0.18,0.071,-0.085
3827,6034945,K01683.01,9.115,1.73,0.0000027,2.4,0.188,68,0.66,1.4E-12,1.4E-12,0.0000027,3.3E-11,0.000000045,7E-13,0.016,5744,83.54,-103.56,0.98,0.248,-0.081,1,0.055,-0.058,9.65,0.262,-0.4,876,217.28,-77.48,0.16,0.06,-0.092
3828,6048024,K01684.01,62.816,64.65,0.99,24,0.001,110,0.5,0.17,0.67,0.014,0.028,0.1,0.000039,0.399,6319,102.19,-100.18,1.49,0.141,-0.112,1.36,0.06,-0.055,9.23,0.126,-0.135,704,68.36,-54.01,0.16,0.08,-0.076
3829,6049190,K01685.01,70.468,4.12,0.0000085,2.5,0.084,123,0.51,0.00000069,0.00000028,0.0000075,3.8E-10,6.4E-15,6.2E-10,0.029,6244,164.18,-181.6,1.32,0.58,-0.21,1.2,0.192,-0.112,9.43,0.145,-0.193,1454,631.01,-242.42,0.23,0.108,-0.129
3830,6198999,K01687.01,3.932,1.59,0.0067,180,0.155,110,0.5,0.00000018,1.4E-09,0.0026,0.000026,0.00013,0.004,0.021,4696,62.87,-54.84,0.69,0.03,-0.047,0.73,0.041,-0.05,9.65,0.365,-0.378,531,26.07,-39.94,0.11,0.078,-0.077
3831,6310636,K01688.01,0.921,1.11,0.0000083,420,0.111,17,0.63,1.6E-10,2.2E-13,0.0000066,0.000000097,0.00000057,0.00000095,0.01,5866,303.97,-280.24,1.01,0.236,-0.126,1,0.125,-0.087,9.53,0.288,-0.31,807,205.83,-110.17,0.42,0.224,-0.237
3832,6312534,K01689.01,1.508,36.87,1,18,0.001,251,0.5,0.094,0.87,0.00079,0.000000042,4.4E-09,0.038,0.428,5137,215.25,-179.61,0.79,0.068,-0.048,0.83,0.054,-0.049,9.66,0.377,-0.403,775,75.9,-53.34,0.4,0.234,-0.223
3833,6470917,K01690.01,1.506,1.58,0.026,7.7,0.179,37,0.5,0.000065,0.0000015,0.014,0.00073,0.0036,0.0076,0.012,6155,259,-258.82,1.2,0.506,-0.191,1.13,0.207,-0.112,9.44,0.217,-0.208,1303,544.29,-225.81,0.47,0.174,-0.192
3834,6611330,K01691.01,35.146,37.9,0.99,180,0.001,488,0.5,0.15,0.74,0.0098,0.041,0.049,0.00051,0.498,5050,99.43,-67.74,0.7,0.059,-0.058,0.73,0.063,-0.054,9.65,0.378,-0.412,830,76.33,-74.19,0.1,0.122,-0.067
3835,6616218,K01692.01,5.96,2.84,0.00072,170,0.202,30,0.5,8.5E-10,0.00019,0.00053,0.000000057,0.0000013,0.00000011,0.029,5424,78.09,-74.56,0.87,0.024,-0.021,0.95,0.029,-0.028,9.38,0.237,-0.24,264,8.37,-7.53,0.15,0.084,-0.084
3836,6616218,K01692.02,2.461,0.78,0.002,1100,0.047,18,1.05,0.000015,7.1E-09,0.0018,0.000065,0.000041,0.0001,0.008,5424,78.09,-74.56,0.87,0.024,-0.021,0.95,0.029,-0.028,9.38,0.237,-0.24,264,8.37,-7.53,0.15,0.084,-0.084
3837,6696462,K01693.01,3.404,73.99,1,91,0.001,81,0.5,0.075,0.27,0.05,0.068,0.48,0.056,0.759,5531,96.76,-120.27,0.9,0.133,-0.062,0.93,0.043,-0.046,9.69,0.34,-0.433,850,125.42,-65.1,0.2,0.086,-0.11
3838,5389540,K01836.01,10.262,87.2,0.99,10,0.001,793,0.51,0.0027,0.0034,0.12,0.0044,0.85,0.013,0.432,9722,176.92,-171.6,1.82,0.056,-0.062,1.67,0.004,-0.004,9.01,0.003,-0.002,2866,78.48,-81.11,0.01,0.008,-0.004
3839,10657406,K01837.01,34.173,2.04,0.0000068,33,0.204,85,0.54,8.3E-10,0.0000053,0.0000015,1.2E-13,6E-11,4.2E-10,0.023,5214,45.31,-41.45,0.82,0.012,-0.011,0.92,0.016,-0.016,9.18,0.169,-0.126,411,7.81,-7.3,0.05,0.053,-0.035
3840,10657406,K01837.02,1.683,0.98,0.000022,6300,0.093,18,0.5,0.000003,0.000000083,0.000017,0.0000003,0.0000023,0.00000002,0.011,5214,45.31,-41.45,0.82,0.012,-0.011,0.92,0.016,-0.016,9.18,0.169,-0.126,411,7.81,-7.3,0.05,0.053,-0.035
3841,5526527,K01838.01,16.737,2.77,0.000059,540,0.203,144,0.5,3.8E-09,0.000000013,0.000058,0.000000089,0.00000002,0.0000015,0.038,4508,71.89,-69.98,0.67,0.028,-0.044,0.7,0.036,-0.047,9.63,0.382,-0.352,349,18.52,-26.6,0.15,0.102,-0.103
3842,5856571,K01839.01,9.591,2.12,0.000022,700,0.218,86,0.51,2.9E-10,0.000000055,0.000021,0.000000002,6.6E-10,0.00000022,0.023,5425,96,-108.22,0.85,0.082,-0.056,0.88,0.045,-0.055,9.66,0.373,-0.432,344,34.19,-24.68,0.19,0.082,-0.109
3843,7765528,K01840.01,7.039,4.67,0.0013,38,0.061,96,0.5,0.000005,0.000021,0.00039,0.0000088,0.00089,0.0000081,0.035,6145,202.83,-258.15,1.24,0.437,-0.213,1.15,0.172,-0.113,9.46,0.207,-0.216,1327,457.72,-246.59,0.4,0.135,-0.187
3844,7765528,K01840.02,9.389,1.86,0.78,190,0.218,106,2.25,0.00055,0.018,0.28,0.01,0.038,0.43,0.014,6145,202.83,-258.15,1.24,0.437,-0.213,1.15,0.172,-0.113,9.46,0.207,-0.216,1327,457.72,-246.59,0.4,0.135,-0.187
3845,11760231,K01841.01,49.608,2.02,0.00011,96,0.194,109,0.5,0.000000017,0.0000062,0.000093,0.00000021,0.0000062,0.0000014,0.023,5215,64.89,-64.48,0.78,0.02,-0.021,0.86,0.027,-0.033,9.36,0.236,-0.204,297,8.77,-9.15,0.12,0.072,-0.074
3846,7779077,K01842.01,16.842,3.08,0.0004,460,0.162,129,0.5,0.0000019,0.000062,0.0003,0.0000017,0.00003,0.0000039,0.027,5847,280.91,-242.63,1.05,0.246,-0.14,1.03,0.131,-0.084,9.54,0.311,-0.311,746,186.81,-106.86,0.46,0.206,-0.201
3847,5080636,K01843.01,4.194,1.61,0.000054,2600,0.155,72,0.54,0.00000013,7.2E-10,0.000049,0.0000025,0.0000012,0.0000017,0.029,3688,38.69,-37.19,0.5,0.017,-0.019,0.52,0.019,-0.02,9.63,0.369,-0.382,121,6.15,-6.23,0.15,0.075,-0.076
3848,8892721,K01844.01,61.491,4.9,0.93,0.014,0.077,347,0.5,0.000000035,0.0000017,0.87,0.0002,0.0065,0.051,0.068,4713,114.34,-71.01,0.66,0.049,-0.049,0.69,0.054,-0.051,9.67,0.359,-0.393,680,54.38,-56.25,0.13,0.157,-0.094
3849,3338885,K01845.01,1.97,1.48,0.0002,9900,0.152,36,0.75,0.0000055,0.0000017,0.00019,0.0000035,0.0000038,0.00000001,0.018,4898,90.91,-114,0.75,0.032,-0.031,0.8,0.036,-0.038,9.59,0.409,-0.36,404,19.88,-19.82,0.28,0.115,-0.164
3850,8543100,K01975.01,7.561,2.52,0.00013,610,0.205,98,0.9,0.000000006,0.00012,0.0000056,7.3E-09,0.000000051,0.00000052,0.025,5544,59.87,-66.77,0.92,0.147,-0.058,0.94,0.038,-0.04,9.68,0.336,-0.449,1417,229.4,-95.24,0.12,0.034,-0.057
3851,2693736,K01976.01,12.124,2.25,0.000014,980,0.217,113,0.5,3.5E-11,0.000000028,0.000014,0.000000065,7.5E-09,0.00000045,0.026,5197,104.56,-84.83,0.8,0.05,-0.047,0.83,0.043,-0.047,9.69,0.36,-0.421,706,47.63,-45.4,0.14,0.111,-0.098
3852,9412760,K01977.01,9.387,1.35,0.0016,840,0.124,75,0.66,0.00026,0.00013,0.00061,0.00014,0.00035,0.00011,0.018,4516,61.09,-41.96,0.68,0.013,-0.017,0.72,0.019,-0.024,9.45,0.262,-0.225,260,6.57,-7.09,0.09,0.094,-0.059
3853,9412760,K01977.02,7.416,0.83,0.098,330,0.06,48,2.64,0.000053,0.0000097,0.053,0.0013,0.0019,0.042,0.011,4516,61.09,-41.96,0.68,0.013,-0.017,0.72,0.019,-0.024,9.45,0.262,-0.225,260,6.57,-7.09,0.09,0.094,-0.059
3854,9518318,K01978.01,6.511,2.55,0.00014,1800,0.206,94,0.5,0.000044,0.00000011,0.000022,0.000021,0.000055,0.00000058,0.025,5639,75.73,-80.37,0.93,0.119,-0.06,0.95,0.039,-0.047,9.63,0.309,-0.4,1034,133.15,-72.62,0.11,0.058,-0.07
3855,9518318,K01978.02,23.852,3.03,0.00022,330,0.177,185,0.54,0.0000077,0.000033,0.000052,0.000025,0.000098,0.000009,0.03,5639,75.73,-80.37,0.93,0.119,-0.06,0.95,0.039,-0.047,9.63,0.309,-0.4,1034,133.15,-72.62,0.11,0.058,-0.07
3856,7273277,K01979.01,2.714,1.16,0.0036,1900,0.119,19,0.51,0.000083,0.00083,0.00016,0.00038,0.0021,0.000011,0.011,5764,109.49,-120.24,0.97,0.172,-0.082,0.98,0.057,-0.06,9.63,0.269,-0.388,404,73.52,-36.69,0.17,0.084,-0.101
3857,11769890,K01980.01,122.881,3.28,0.016,3.2,0.194,174,0.5,0.0000054,0.0078,0.0021,0.000009,0.0065,0.000073,0.031,5531,80.01,-67.31,0.89,0.039,-0.031,0.95,0.033,-0.034,9.52,0.253,-0.303,506,24.24,-19.45,0.1,0.08,-0.064
3858,10153855,K01981.01,1.064,1.28,0.025,170,0.119,37,0.9,0.001,0.00012,0.00065,0.0053,0.018,0.00014,0.015,5111,98.94,-76.03,0.78,0.039,-0.041,0.82,0.041,-0.045,9.69,0.334,-0.414,449,24.49,-25.52,0.12,0.114,-0.081
3859,6862721,K01982.01,4.888,2.4,1,0.0063,0.204,139,0.5,0.036,0.12,0.7,1.4E-09,4.7E-13,0.14,0.024,5519,69.46,-106.57,0.93,0.196,-0.063,0.95,0.044,-0.043,9.69,0.346,-0.454,1225,254.92,-89.79,0.27,0.047,-0.104
3860,12691412,K01983.01,6.901,7.4,0.99,0.022,0.057,118,0.5,0.0099,0.081,0.037,0.2,0.64,0.028,0.037,6569,148.4,-165.96,1.83,0.748,-0.343,1.52,0.238,-0.147,9.18,0.115,-0.101,1312,535.63,-245.47,0.17,0.087,-0.107
3861,8053552,K01549.01,29.481,20.07,0.93,240,0.014,196,0.5,0.13,0.77,0.0052,0.0055,0.024,0.000051,0.176,5888,288.53,-268.96,1.06,0.291,-0.146,1.03,0.119,-0.091,9.55,0.303,-0.31,1056,298.39,-160.29,0.6,0.215,-0.225
3862,8111381,K01550.01,2.234,8.26,0.91,5.4,0.059,356,0.5,0.34,0.2,0.18,0.011,0.17,0.012,0.077,5758,206.35,-207.71,0.98,0.162,-0.099,0.99,0.085,-0.069,9.57,0.272,-0.351,1072,187.59,-119.24,0.32,0.161,-0.181
3863,5444549,K01551.01,31.139,14.43,0.56,52,0.058,836,0.5,0.055,0.37,0.0014,0.011,0.12,0.000077,0.115,5910,84.41,-117.92,1.16,0.333,-0.132,1.12,0.092,-0.066,9.56,0.154,-0.343,1860,526.74,-216.72,0.23,0.049,-0.092
3864,7984047,K01552.01,77.634,9.62,0.0088,29,0.065,771,2.76,0.000029,0.000054,0.0086,2.1E-09,0.000017,0.0000015,0.122,4771,162.77,-107.76,0.72,0.036,-0.035,0.76,0.04,-0.039,9.67,0.358,-0.377,728,43.95,-39.31,0.22,0.22,-0.154
